station;lon;lat;date;value;uncertainty;source
SAO-FELIPE;-67.31;0.37;2002-08-10 00:00:00;14533.4;957.4;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2002-09-14 00:00:00;8613.3;320.4;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2002-10-19 00:00:00;4238.9;134.0;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2002-11-23 00:00:00;7196.2;243.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2002-12-28 00:00:00;6866.0;235.5;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-02-01 00:00:00;1665.8;109.0;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-03-08 00:00:00;3554.5;125.1;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-04-12 00:00:00;3692.2;125.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-05-17 00:00:00;15087.1;1021.3;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-06-21 00:00:00;17472.2;1309.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-07-26 00:00:00;12727.7;737.1;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-08-30 00:00:00;11467.1;572.6;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-10-04 00:00:00;9929.0;427.4;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-11-08 00:00:00;7232.1;244.5;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2003-12-13 00:00:00;3835.7;132.0;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-01-17 00:00:00;5684.7;179.2;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-02-21 00:00:00;606.2;38.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-03-27 00:00:00;3392.8;120.9;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-05-01 00:00:00;8757.8;333.2;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-06-05 00:00:00;15706.7;1120.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-07-10 00:00:00;14086.5;903.6;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-08-14 00:00:00;12082.0;648.9;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-09-18 00:00:00;11178.3;552.4;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-10-23 00:00:00;4412.9;138.7;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2004-11-27 00:00:00;5370.1;269.3;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-01-01 00:00:00;3152.7;132.9;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-02-05 00:00:00;4122.8;139.1;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-03-12 00:00:00;6679.0;225.6;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-04-16 00:00:00;9907.3;426.5;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-05-21 00:00:00;13341.1;814.8;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-06-25 00:00:00;11675.8;607.2;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-07-30 00:00:00;8182.4;285.3;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-09-03 00:00:00;10753.5;519.8;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-10-08 00:00:00;4492.3;137.3;GRDC_3618053
SAO-FELIPE;-67.31;0.37;2005-11-12 00:00:00;5229.7;163.8;GRDC_3618053
