station;lon;lat;date;value;uncertainty;source
CEATAL-IZMAIL;28.72;45.22;2008-07-13 00:00:00;5387.2;306.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2008-08-12 00:00:00;8067.5;931.8;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2008-09-20 00:00:00;5110.0;176.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2008-10-10 00:00:00;3636.9;312.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2008-11-19 00:00:00;4817.2;404.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2008-12-28 00:00:00;7405.7;755.8;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-01-07 00:00:00;6936.6;688.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-02-06 00:00:00;6256.5;208.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-03-28 00:00:00;10834.3;764.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-04-07 00:00:00;9287.5;575.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-05-26 00:00:00;6369.7;571.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-06-15 00:00:00;7247.2;735.9;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-07-05 00:00:00;5571.0;469.4;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-08-13 00:00:00;4817.2;404.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-09-02 00:00:00;4028.8;312.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-10-02 00:00:00;3670.4;319.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-11-01 00:00:00;4606.8;390.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2009-12-10 00:00:00;3531.5;307.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-01-19 00:00:00;10567.8;832.7;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-02-08 00:00:00;6096.7;206.9;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-03-10 00:00:00;14298.8;2526.4;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-04-08 00:00:00;10358.3;1179.7;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-05-18 00:00:00;9329.4;578.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-06-07 00:00:00;11603.2;855.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-07-07 00:00:00;16661.0;1234.7;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-08-05 00:00:00;8906.2;693.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-09-24 00:00:00;8563.4;569.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-10-04 00:00:00;7496.1;765.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-11-03 00:00:00;9242.7;1295.9;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2010-12-02 00:00:00;8005.9;888.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-01-01 00:00:00;10508.7;1206.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-02-10 00:00:00;8762.3;1157.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-03-02 00:00:00;7146.4;718.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-04-10 00:00:00;7205.3;288.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-05-20 00:00:00;5593.3;286.6;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-06-19 00:00:00;5891.8;509.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-07-09 00:00:00;5240.4;435.4;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-08-07 00:00:00;4105.7;318.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-09-06 00:00:00;4817.2;404.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-10-06 00:00:00;3656.5;314.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-11-05 00:00:00;5088.9;412.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2011-12-04 00:00:00;3522.4;319.3;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-01-03 00:00:00;4632.2;391.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-02-02 00:00:00;5126.8;234.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-03-03 00:00:00;6025.8;525.9;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-04-11 00:00:00;4284.9;365.4;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-05-11 00:00:00;6655.6;462.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-06-20 00:00:00;8410.4;682.9;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-07-19 00:00:00;3938.7;316.2;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-08-08 00:00:00;5173.3;423.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-09-07 00:00:00;2901.3;333.5;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-10-07 00:00:00;2046.4;628.1;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-11-05 00:00:00;3874.4;130.7;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2012-12-15 00:00:00;5384.4;254.8;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-01-04 00:00:00;6777.8;248.7;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-02-03 00:00:00;6822.6;253.8;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-03-24 00:00:00;11215.8;1885.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-04-13 00:00:00;13402.6;1004.6;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-05-03 00:00:00;11939.4;2022.8;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-06-02 00:00:00;9382.8;581.4;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-07-01 00:00:00;10635.3;1699.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-08-20 00:00:00;7944.1;384.0;GRDC_6742900
CEATAL-IZMAIL;28.72;45.22;2013-09-19 00:00:00;3889.8;324.7;GRDC_6742900
