station;lon;lat;date;value;uncertainty;source
MAGWAY;94.92;20.13;2002-07-26 00:00:00;25710.0;1626.7;GRDC_2260600
MAGWAY;94.92;20.13;2002-08-30 00:00:00;37946.6;2820.8;GRDC_2260600
MAGWAY;94.92;20.13;2002-10-04 00:00:00;13487.2;599.3;GRDC_2260600
MAGWAY;94.92;20.13;2002-11-08 00:00:00;2984.1;105.0;GRDC_2260600
MAGWAY;94.92;20.13;2002-12-13 00:00:00;4685.8;153.4;GRDC_2260600
MAGWAY;94.92;20.13;2003-05-02 00:00:00;5650.8;192.7;GRDC_2260600
MAGWAY;94.92;20.13;2003-06-06 00:00:00;18180.5;963.3;GRDC_2260600
MAGWAY;94.92;20.13;2003-07-11 00:00:00;30292.6;2102.8;GRDC_2260600
MAGWAY;94.92;20.13;2003-08-15 00:00:00;19663.7;1093.2;GRDC_2260600
MAGWAY;94.92;20.13;2003-09-19 00:00:00;19017.6;1021.5;GRDC_2260600
MAGWAY;94.92;20.13;2003-10-24 00:00:00;15269.5;738.0;GRDC_2260600
MAGWAY;94.92;20.13;2003-11-28 00:00:00;5991.1;203.3;GRDC_2260600
MAGWAY;94.92;20.13;2004-01-02 00:00:00;4257.6;134.2;GRDC_2260600
MAGWAY;94.92;20.13;2004-02-06 00:00:00;3587.4;109.7;GRDC_2260600
MAGWAY;94.92;20.13;2004-03-12 00:00:00;3520.8;110.7;GRDC_2260600
MAGWAY;94.92;20.13;2004-04-16 00:00:00;3876.1;121.6;GRDC_2260600
MAGWAY;94.92;20.13;2004-05-21 00:00:00;9051.0;877.8;GRDC_2260600
MAGWAY;94.92;20.13;2004-06-25 00:00:00;17496.2;927.0;GRDC_2260600
MAGWAY;94.92;20.13;2004-10-08 00:00:00;31420.5;2242.0;GRDC_2260600
MAGWAY;94.92;20.13;2004-11-12 00:00:00;10488.8;430.0;GRDC_2260600
MAGWAY;94.92;20.13;2004-12-17 00:00:00;5240.5;445.7;GRDC_2260600
MAGWAY;94.92;20.13;2005-01-21 00:00:00;3808.4;228.5;GRDC_2260600
MAGWAY;94.92;20.13;2005-02-25 00:00:00;2734.9;109.1;GRDC_2260600
