station;lon;lat;date;value;uncertainty;source
KATIMA-MULILO;24.3;-17.47;2002-05-25 00:00:00;1390.6;72.3;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-06-29 00:00:00;578.1;19.3;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-08-03 00:00:00;357.9;11.4;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-09-07 00:00:00;376.6;11.6;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-10-12 00:00:00;286.7;8.8;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-11-16 00:00:00;260.6;8.8;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2002-12-21 00:00:00;334.1;10.4;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-01-25 00:00:00;999.6;45.9;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-03-01 00:00:00;2257.8;139.9;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-05-10 00:00:00;3187.0;221.2;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-06-14 00:00:00;963.4;42.8;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-07-19 00:00:00;543.1;18.4;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-08-23 00:00:00;371.2;11.5;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2003-11-01 00:00:00;252.5;22.0;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-01-10 00:00:00;591.7;20.2;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-02-14 00:00:00;1801.0;100.1;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-04-24 00:00:00;5628.0;417.1;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-05-29 00:00:00;1764.8;98.1;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-07-03 00:00:00;678.5;25.8;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-08-07 00:00:00;405.0;13.3;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-09-11 00:00:00;397.7;32.6;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-10-16 00:00:00;360.5;11.4;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-11-20 00:00:00;218.7;8.7;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2004-12-25 00:00:00;389.0;12.3;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-01-29 00:00:00;890.7;37.5;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-03-05 00:00:00;1347.8;68.5;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-04-09 00:00:00;1350.7;68.6;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-05-14 00:00:00;1069.0;49.6;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-06-18 00:00:00;610.1;21.3;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-07-23 00:00:00;563.0;18.8;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-08-27 00:00:00;382.5;12.1;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-10-01 00:00:00;226.4;8.5;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-11-05 00:00:00;235.2;8.4;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2005-12-10 00:00:00;254.9;8.7;GRDC_1291100
KATIMA-MULILO;24.3;-17.47;2006-01-14 00:00:00;444.1;37.9;GRDC_1291100
