station;lon;lat;date;value;uncertainty;source
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-02-28 17:01:00;14.10;0.15;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-03-19 12:59:00;13.90;1.04;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-03-29 10:57:00;13.08;0.63;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-04-08 08:56:00;14.20;0.65;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-04-18 06:54:00;13.67;0.30;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-04-28 04:53:00;13.38;0.66;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-05-08 02:51:00;12.95;0.48;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-05-18 00:50:00;13.44;0.45;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-05-27 22:48:00;13.28;0.47;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-06-06 20:47:00;13.21;0.47;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-06-16 18:45:00;13.14;0.39;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-06-26 16:44:00;12.91;0.55;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-07-06 14:42:00;13.30;1.16;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-07-16 12:41:00;13.31;0.45;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-07-26 10:39:00;12.67;0.76;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-08-05 08:38:00;12.95;0.40;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-08-15 06:37:00;13.02;0.24;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-09-04 02:34:00;12.95;0.70;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-09-14 00:32:00;12.95;0.63;hydroweb-J2
ADOUR_ADOUR-KM0115-EXP;-0.776;43.7569;2016-09-23 22:31:00;12.92;0.55;hydroweb-J2
