station;lon;lat;date;value;uncertainty;source
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2002-10-29 14:18:00;93.27;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2002-12-03 14:18:00;93.02;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-02-11 14:17:00;99.55;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-05-27 14:17:00;96.69;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-07-01 14:18:00;94.81;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-08-05 14:18:00;93.57;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-09-09 14:18:00;92.63;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-10-14 14:18:00;93.57;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-11-18 14:18:00;93.46;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2003-12-23 14:18:00;93.92;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-01-27 14:18:00;98.65;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-03-02 14:18:00;100.87;0.01;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-04-06 14:18:00;101.59;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-05-11 14:18:00;99.56;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-06-15 14:18:00;95.34;0.03;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-07-20 14:18:00;94.46;0.02;hydroweb-ENV
AMAZONAS_ABUNA-KM0145-EXP;-65.961;-9.771;2004-08-24 14:18:00;93.46;0.00;hydroweb-ENV
