station;lon;lat;date;value;uncertainty;source
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-07-15 12:15:00;67.52;0.27;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-07-25 10:13:00;67.97;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-08-04 08:12:00;68.67;0.30;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-08-14 06:10:00;67.50;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-08-24 04:09:00;67.02;0.35;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-09-03 02:07:00;65.43;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-09-13 00:06:00;64.48;0.49;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-09-22 22:04:00;65.09;0.17;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-10-02 20:03:00;64.88;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-10-12 18:01:00;64.49;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-10-22 16:00:00;65.41;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-11-01 13:58:00;65.47;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-11-11 11:57:00;65.04;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-11-21 09:55:00;64.09;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-12-01 07:54:00;64.75;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-12-11 05:53:00;65.34;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-12-21 03:51:00;64.98;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2008-12-31 01:50:00;65.58;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-01-09 23:48:00;65.48;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-01-19 21:47:00;67.17;0.17;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-01-29 19:45:00;65.67;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-02-08 17:44:00;66.04;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-02-18 15:42:00;65.86;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-02-28 13:41:00;65.35;0.07;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-03-10 11:39:00;65.09;0.17;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-03-20 09:38:00;65.24;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-03-30 07:36:00;65.79;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-04-09 05:35:00;65.39;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-04-19 03:33:00;65.39;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-04-29 01:32:00;65.77;0.08;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-05-08 23:30:00;65.54;0.06;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-05-18 21:29:00;64.96;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-05-28 19:27:00;64.84;0.04;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-06-07 17:26:00;66.19;0.19;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-06-17 15:25:00;67.15;0.07;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-06-27 13:23:00;67.52;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-07-07 11:22:00;67.56;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-07-17 09:20:00;67.52;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-07-27 07:19:00;67.19;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-08-06 05:17:00;65.94;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-08-16 03:16:00;66.23;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-08-26 01:14:00;66.09;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-09-04 23:13:00;65.16;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-09-14 21:11:00;64.42;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-09-24 19:10:00;64.18;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-10-04 17:08:00;63.67;0.08;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-10-14 15:07:00;64.24;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-10-24 13:05:00;64.46;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-11-03 11:04:00;63.34;0.14;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-11-13 09:02:00;61.87;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-11-23 07:01:00;61.58;0.03;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-12-03 04:59:00;61.58;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-12-13 02:58:00;61.80;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2009-12-23 00:56:00;63.44;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-01-01 22:55:00;62.54;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-01-11 20:54:00;61.35;0.17;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-01-21 18:52:00;61.82;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-01-31 16:51:00;61.90;0.11;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-02-10 14:49:00;61.91;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-02-20 12:48:00;60.71;0.17;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-03-02 10:46:00;61.57;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-03-12 08:45:00;62.79;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-03-22 06:43:00;63.57;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-04-01 04:42:00;62.97;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-04-11 02:40:00;64.36;0.15;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-04-21 00:39:00;66.76;0.09;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-04-30 22:37:00;67.15;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-05-10 20:36:00;67.47;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-05-20 18:34:00;67.04;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-05-30 16:33:00;67.36;0.16;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-06-09 14:31:00;67.87;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-06-19 12:30:00;68.37;0.07;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-06-29 10:28:00;68.53;0.18;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-07-09 08:27:00;68.50;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-07-19 06:26:00;67.72;0.10;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-07-29 04:24:00;66.97;0.09;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-08-08 02:23:00;66.86;0.07;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-08-18 00:21:00;66.60;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-08-27 22:20:00;66.09;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-09-06 20:18:00;65.67;0.13;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-09-16 18:17:00;65.56;0.09;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-09-26 16:15:00;64.45;0.12;hydroweb-J2
AMAZONAS_NEGRO-KM2384-EXP;-67.2919;0.0894;2010-10-06 14:14:00;63.32;0.12;hydroweb-J2
