station;lon;lat;date;value;uncertainty;source
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-07-14 16:18:00;3.75;0.35;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-07-24 14:17:00;2.91;0.24;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-08-03 12:15:00;4.36;0.21;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-08-13 10:14:00;4.10;0.08;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-08-23 08:12:00;3.55;0.31;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-09-02 06:11:00;3.40;0.19;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-09-12 04:09:00;2.50;0.36;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-09-22 02:08:00;2.27;0.25;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-10-02 00:06:00;2.67;0.52;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-10-11 22:05:00;2.83;0.16;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-10-21 20:04:00;2.56;0.14;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-10-31 18:02:00;2.03;0.15;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-11-10 16:01:00;2.56;0.48;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-11-20 13:59:00;3.08;0.10;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-11-30 11:58:00;2.28;0.13;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-12-10 09:56:00;3.77;0.18;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-12-20 07:55:00;4.86;0.23;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2008-12-30 05:53:00;5.09;0.25;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-01-09 03:52:00;4.41;0.21;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-01-19 01:50:00;2.92;0.29;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-01-28 23:49:00;3.33;0.07;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-02-07 21:47:00;5.59;0.19;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-02-17 19:46:00;5.18;0.25;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-02-27 17:44:00;5.14;0.22;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-03-09 15:43:00;5.07;0.09;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-03-19 13:41:00;6.61;0.14;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-03-29 11:40:00;6.45;0.14;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-04-08 09:38:00;6.44;0.16;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-04-18 07:37:00;7.00;0.16;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-04-28 05:36:00;6.40;0.24;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-05-08 03:34:00;5.47;0.11;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-05-18 01:33:00;5.06;0.22;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-05-27 23:31:00;4.50;0.35;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-06-06 21:30:00;4.44;0.10;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-06-16 19:28:00;4.69;0.28;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-06-26 17:27:00;3.33;0.09;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-07-06 15:25:00;4.60;0.22;hydroweb-J2
DANUBE_DUNAREA-KM0231-EXP;27.9534;45.1146;2009-07-16 13:24:00;6.15;0.20;hydroweb-J2
