station;lon;lat;date;value;uncertainty;source
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2018-12-12 15:24:00;53.89;0.21;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-01-21 15:25:00;52.99;0.09;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-02-17 15:25:00;52.71;0.14;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-03-15 15:25:00;52.77;0.18;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-04-11 15:25:00;52.57;0.22;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-05-08 15:25:00;53.49;0.19;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-06-04 15:25:00;56.85;0.18;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-07-01 15:25:00;59.33;0.17;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-07-28 15:25:00;61.64;0.64;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-08-24 15:25:00;61.15;0.89;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-10-17 15:25:00;58.57;1.04;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-11-13 15:25:00;57.13;0.24;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2020-12-10 15:25:00;54.43;0.17;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-01-19 15:25:00;52.74;0.24;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-02-15 15:25:00;52.84;0.19;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-03-14 15:25:00;52.72;0.27;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-04-10 15:25:00;55.22;0.29;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-05-07 15:25:00;53.60;1.52;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-06-03 15:25:00;56.25;0.24;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-06-30 15:25:00;61.11;0.21;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-07-27 15:25:00;59.18;0.18;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-08-23 15:25:00;57.93;0.48;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-09-19 15:25:00;58.47;0.11;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-10-16 15:25:00;58.15;0.86;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-11-12 15:25:00;55.18;0.26;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2022-12-09 15:25:00;53.77;0.24;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-01-05 15:25:00;53.13;0.28;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-02-01 15:25:00;52.66;0.23;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-02-28 15:25:00;52.42;0.27;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-03-27 15:25:00;52.91;0.26;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-04-23 15:25:00;52.63;0.27;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-05-20 15:25:00;53.60;0.25;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-06-16 15:25:00;54.23;0.30;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-07-13 15:25:00;59.13;0.64;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-08-09 15:25:00;59.42;0.60;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-09-05 15:25:00;61.72;0.11;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-10-29 15:25:00;56.56;0.19;hydroweb-S3B
IRRAWADDY_IRRAWADDY-KM0769-EXP;95.2851;21.4556;2023-11-25 15:25:00;55.16;0.24;hydroweb-S3B
