station;lon;lat;date;value;uncertainty;source
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-07-20 14:17:00;174.54;0.12;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-07-30 12:16:00;174.28;0.12;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-08-19 08:13:00;174.25;0.17;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-08-29 06:11:00;174.47;0.08;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-09-08 04:10:00;173.95;0.22;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-09-18 02:08:00;174.07;0.08;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-09-28 00:07:00;173.96;0.11;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-10-07 22:05:00;173.99;0.10;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-10-17 20:04:00;174.32;0.17;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-10-27 18:02:00;173.97;0.11;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-11-06 16:01:00;173.98;0.11;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-11-16 13:59:00;173.98;0.12;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-11-26 11:58:00;174.16;0.19;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-12-06 09:56:00;173.95;0.08;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-12-16 07:55:00;173.88;0.17;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2008-12-26 05:53:00;173.98;0.06;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2009-01-05 03:52:00;173.90;0.07;hydroweb-J2
MISSISSIPPI_MISSISSIPPI-KM2378-EXP;-90.2564;41.7767;2009-01-15 01:51:00;173.82;0.17;hydroweb-J2
