station;lon;lat;date;value;uncertainty;source
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-04-30 08:13:00;958.17;0.02;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-05-27 08:13:00;956.81;0.12;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-06-23 08:13:00;955.44;0.23;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-07-20 08:13:00;954.39;0.02;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-08-16 08:13:00;954.34;0.19;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-09-12 08:13:00;954.09;0.20;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-10-09 08:13:00;954.48;0.23;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-11-05 08:13:00;953.53;0.03;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-12-02 08:13:00;953.85;0.06;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2016-12-29 08:13:00;954.59;0.10;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-01-11 08:13:00;955.02;0.01;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-02-07 08:13:00;955.94;0.03;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-03-06 08:13:00;958.21;0.09;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-04-02 08:13:00;958.81;0.03;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-04-29 08:13:00;960.05;0.15;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-05-26 08:13:00;958.37;0.40;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-06-22 08:13:00;956.51;0.12;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-07-19 08:13:00;955.59;1.42;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-08-15 08:13:00;954.56;0.13;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-09-11 08:13:00;954.74;0.32;hydroweb-S3A
ZAMBEZI_ZAMBEZI-KM1915-EXP;23.9241;-16.9654;2018-10-08 08:13:00;954.05;0.01;hydroweb-S3A
